ControlType.Button|CoverThumbnail||1067,915,60,60
ControlType.Image|||1067,915,60,60
ControlType.Button|isFavouriteIconButton||1142,925,39,39
ControlType.Text||Fallen|1197,931,53,28
ControlType.Button|||1720,924,84,42
ControlType.Text||EGOIST|1728,931,69,28
ControlType.Button|||1982,924,69,42
ControlType.Text||Fallen|1990,931,54,28
ControlType.Text||04:30|2593,931,90,28
ControlType.Button|||2698,921,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,982,1818,75
ControlType.Button|CoverThumbnail||1067,990,60,60
ControlType.Image|||1067,990,60,60
ControlType.Button|isFavouriteIconButton||1142,1000,39,39
ControlType.Text||当事者|1197,1006,62,28
ControlType.Button|||1720,999,84,42
ControlType.Text||EGOIST|1728,1006,69,28
ControlType.Button|||1982,999,78,42
ControlType.Text||当事者|1990,1006,63,28
ControlType.Text||04:02|2593,1006,90,28
ControlType.Button|||2698,996,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,1057,1818,75
ControlType.Button|CoverThumbnail||1067,1065,60,60
ControlType.Image|||1067,1065,60,60
ControlType.Button|isFavouriteIconButton||1142,1075,39,39
ControlType.Text||melt|1197,1081,41,28
ControlType.Button|||1720,1074,102,42
ControlType.Text||SennaRin|1728,1081,87,28
ControlType.Button|||1982,1074,57,42
ControlType.Text||melt|1990,1081,42,28
ControlType.Text||HQ|2530,1086,21,18
ControlType.Text||04:50|2593,1081,90,28
ControlType.Button|||2698,1071,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,1132,1818,75
ControlType.Button|CoverThumbnail||1067,1140,60,60
ControlType.Image|||1067,1140,60,60
ControlType.Button|isFavouriteIconButton||1142,1150,39,39
ControlType.Text||NDA-α ver.|1197,1156,104,28
ControlType.Button|||1720,1149,99,42
ControlType.Text||澤野弘之|1728,1156,84,28
ControlType.Button|||1982,1149,504,42
ControlType.Text||『機動戦士ガンダム 閃光のハサウェイ キルケーの魔女』オリジナル・サウンドトラック|1990,1156,489,28
ControlType.Text||HQ|2530,1161,21,18
ControlType.Text||03:26|2593,1156,90,28
ControlType.Button|||2698,1146,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,1207,1818,74
ControlType.Button|CoverThumbnail||1067,1215,60,59
ControlType.Image|||1067,1215,60,59
ControlType.Button|isFavouriteIconButton||1142,1225,39,39
ControlType.Text||[THE SORCERY OF NYMPH CIRCE] SUITE-No.7: THA|1197,1231,473,28
ControlType.Button|||1720,1223,99,42
ControlType.Text||澤野弘之|1728,1231,84,28
ControlType.Button|||1982,1223,504,42
ControlType.Text||『機動戦士ガンダム 閃光のハサウェイ キルケーの魔女』オリジナル・サウンドトラック|1990,1231,489,28
ControlType.Text||HQ|2530,1235,21,18
ControlType.Text||02:04|2593,1231,90,28
ControlType.Button|||2698,1220,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,1282,1818,75
ControlType.Button|CoverThumbnail||1067,1290,60,60
ControlType.Image|||1067,1290,60,60
ControlType.Button|isFavouriteIconButton||1142,1300,39,39
ControlType.Text||[THE SORCERY OF NYMPH CIRCE] SUITE-No.6: MHA|1197,1306,481,28
ControlType.Button|||1720,1298,99,42
ControlType.Text||澤野弘之|1728,1306,84,28
ControlType.Button|||1982,1298,504,42
ControlType.Text||『機動戦士ガンダム 閃光のハサウェイ キルケーの魔女』オリジナル・サウンドトラック|1990,1306,489,28
ControlType.Text||HQ|2530,1310,21,18
ControlType.Text||05:04|2593,1306,90,28
ControlType.Button|||2698,1295,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,1357,1818,74
ControlType.Button|CoverThumbnail||1067,1365,60,60
ControlType.Image|||1067,1365,60,60
ControlType.Button|isFavouriteIconButton||1142,1375,39,39
ControlType.Text||[THE SORCERY OF NYMPH CIRCE] SUITE-No.4: TGU|1197,1381,473,28
ControlType.Button|||1720,1373,99,42
ControlType.Text||澤野弘之|1728,1381,84,28
ControlType.Button|||1982,1373,504,42
ControlType.Text||『機動戦士ガンダム 閃光のハサウェイ キルケーの魔女』オリジナル・サウンドトラック|1990,1381,489,28
ControlType.Text||HQ|2530,1385,21,18
ControlType.Text||05:17|2593,1381,90,28
ControlType.Button|||2698,1370,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,1432,1818,75
ControlType.Button|CoverThumbnail||1067,1440,60,60
ControlType.Image|||1067,1440,60,60
ControlType.Button|isFavouriteIconButton||1142,1450,39,39
ControlType.Text||[THE SORCERY OF NYMPH CIRCE] SUITE-No.3: SUI|1197,1456,465,28
ControlType.Button|||1720,1449,99,42
ControlType.Text||澤野弘之|1728,1456,84,28
ControlType.Button|||1982,1449,504,42
ControlType.Text||『機動戦士ガンダム 閃光のハサウェイ キルケーの魔女』オリジナル・サウンドトラック|1990,1456,489,28
ControlType.Text||HQ|2530,1461,21,18
ControlType.Text||04:47|2593,1456,90,28
ControlType.Button|||2698,1446,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,1507,1818,75
ControlType.Button|CoverThumbnail||1067,1515,60,60
ControlType.Image|||1067,1515,60,60
ControlType.Button|isFavouriteIconButton||1142,1525,39,39
ControlType.Text||[THE SORCERY OF NYMPH CIRCE] SUITE-No.8: WAY|1197,1531,476,28
ControlType.Button|||1720,1524,99,42
ControlType.Text||澤野弘之|1728,1531,84,28
ControlType.Button|||1982,1524,504,42
ControlType.Text||『機動戦士ガンダム 閃光のハサウェイ キルケーの魔女』オリジナル・サウンドトラック|1990,1531,489,28
ControlType.Text||HQ|2530,1536,21,18
ControlType.Text||02:32|2593,1531,90,28
ControlType.Button|||2698,1521,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,1582,1818,75
ControlType.Button|CoverThumbnail||1067,1590,60,60
ControlType.Image|||1067,1590,60,60
ControlType.Button|isFavouriteIconButton||1142,1600,39,39
ControlType.Text||[THE SORCERY OF NYMPH CIRCE] SUITE-No.5: NDA|1197,1606,477,28
ControlType.Button|||1720,1599,99,42
ControlType.Text||澤野弘之|1728,1606,84,28
ControlType.Button|||1982,1599,504,42
ControlType.Text||『機動戦士ガンダム 閃光のハサウェイ キルケーの魔女』オリジナル・サウンドトラック|1990,1606,489,28
ControlType.Text||HQ|2530,1611,21,18
ControlType.Text||03:24|2593,1606,90,28
